#RA Dec weight
351.9080123840 0.2421481479 0.5420898199
351.7827881328 -0.0658048074 0.5067367554
351.8954281146 0.3117644470 0.5311409831
351.7432695776 0.3333774545 0.4472553432
351.8182509281 0.3285546162 0.4286958277
351.5872977638 0.2290451666 0.5359438658
351.8753665008 -0.0104606892 0.4969426990
351.6215442176 0.2818662101 0.4833517373
351.4069862332 0.2236454305 0.6239103675
351.7916315841 0.0703970401 0.4401371777
351.5294769218 0.0551109608 0.4759998620
352.0126761010 0.1061763888 0.2260799557
351.4557855473 0.3251223087 0.5238073468
351.6701433683 0.1878588972 0.4833517373
351.6422141189 0.2695280847 0.4833517373
351.7165650401 0.1191174142 0.5370922089
351.7113558802 0.1259563583 0.5539177060
351.6625671057 0.0210046773 0.5539177060
351.9878760408 -0.0199180172 0.5217952132
351.9196928744 -0.0647168987 0.5853464603
351.9592257913 0.3554530009 0.5274661779
351.6724683782 0.1523371903 0.3839325905
351.7472037531 0.2286714591 0.4995629787
351.5293342090 0.0807045000 0.5859137774
351.5693400908 0.2331001401 0.4848181009
351.7797953949 0.0418352600 0.4401371777
351.8177467342 0.0051418820 0.5067367554
351.4271065013 0.0023940278 0.7478599548
351.4621330420 0.2270884164 0.5368314981
352.0610245725 0.1715554036 0.9399664402
351.7681501275 0.2957742578 0.4472553432
352.0395312775 0.1796545161 0.8338046670
351.5440686686 0.0302362732 0.5778284073
351.6029987816 0.3179465384 0.4833517373
351.4749283584 -0.0568445642 0.4759998620
351.4207000188 0.1827727233 0.6128711700
351.4092591917 0.3511186935 0.3652701974
351.5903132424 0.1815483056 0.4848181009
351.8560049063 0.0518747799 0.5067367554
351.6018682171 -0.0801957656 0.4462500513
351.8270416390 0.0353858390 0.4026317894
351.4358414471 0.3438219446 0.7962559462
351.9257031672 0.0306743973 0.5152376890
351.7901997637 -0.0924499268 0.5119881630
351.8409629994 0.2103069634 0.5271410942
351.9373097545 0.3137192182 0.4926708639
351.7737600443 0.2741495662 0.4472553432
351.9998627733 0.2219893181 0.5192946792
351.3789445607 -0.0606014459 0.4347541332
351.9810036519 0.0890864611 0.4816664755
351.8965877844 -0.0682573106 0.4816664755
351.8493306022 0.2681421143 0.8694368601
351.4764412774 -0.0759270340 0.4759998620
351.7014415258 -0.0771768832 0.5283372402
351.7575628147 0.3343694086 0.4520002604
351.8709585242 0.0284136415 0.4096723199
351.8236514457 0.1192261059 0.4401371777
351.4186830109 0.1581010411 0.5638869405
351.9375865565 0.0889185409 0.3928377330
351.7530791491 0.0040303818 0.5283372402
351.9792197134 0.2555456945 0.5192946792
351.8493307496 0.1290897404 0.6980190873
351.7038145717 0.0478775038 0.4236921966
351.9280738408 0.1638823854 0.5387670398
351.6850911821 0.2118308693 0.3912327588
351.5209323656 0.1511932053 0.4747912884
351.5642889861 0.1144210290 0.4759998620
351.9740108141 0.3073795570 0.5281367898
351.7606108921 0.1068752444 0.4547512531
351.7015624205 -0.0834460917 0.5283372402
351.8556128997 0.1257317788 0.5144783854
351.8915522722 0.0317738105 0.5094993114
351.8958486198 0.0166504924 0.3928377330
351.9370630552 0.0994807943 0.4969426990
351.6321297745 -0.0897681551 0.4236921966
351.5848088520 -0.0379077173 0.5118375421
352.0147788650 0.2808583517 0.8329055309
351.8298348665 0.2599065934 0.4407410324
351.6943617042 0.3326736705 0.8143767118
